,id,target_raw,target_clean
0,0,1,1
1,2,0,0
2,3,1,1
3,9,0,0
4,11,1,1
5,12,1,1
6,21,0,0
7,22,0,0
8,27,0,0
9,29,0,0
10,30,0,0
11,35,0,0
12,42,0,0
13,43,0,0
14,45,0,0
15,46,0,0
16,47,0,0
17,51,0,0
18,58,0,0
19,60,0,0
20,69,0,0
21,70,0,0
22,72,0,0
23,75,1,1
24,84,0,0
25,87,1,1
26,88,0,0
27,90,0,0
28,94,0,0
29,99,1,1
30,101,0,0
31,103,1,1
32,106,0,0
33,108,0,0
34,111,1,1
35,115,0,0
36,116,1,1
37,122,0,0
38,123,0,0
39,124,1,1
40,125,0,0
41,127,1,1
42,140,0,0
43,142,0,0
44,147,0,0
45,148,0,0
46,150,0,0
47,152,0,0
48,154,0,0
49,155,0,0
50,166,0,0
51,167,0,0
52,169,1,1
53,177,0,0
54,179,0,0
55,181,0,0
56,186,0,0
57,188,0,0
58,189,0,0
59,192,0,0
60,200,1,1
61,202,0,0
62,206,1,1
63,207,1,1
64,214,1,1
65,217,1,1
66,223,0,0
67,224,1,1
68,227,1,1
69,228,0,0
70,230,0,0
71,233,1,1
72,234,1,1
73,236,1,1
74,239,1,1
75,250,1,1
76,255,0,0
77,257,0,0
78,259,1,1
79,275,1,1
80,278,0,0
81,282,0,0
82,284,0,0
83,286,0,0
84,288,1,1
85,292,0,0
86,295,0,0
87,300,0,0
88,304,1,1
89,305,1,1
90,306,0,0
91,308,0,0
92,311,0,0
93,317,0,0
94,319,0,0
95,323,0,0
96,324,0,0
97,325,0,0
98,326,0,0
99,333,0,0
100,339,0,0
101,342,0,0
102,343,0,0
103,350,0,0
104,351,0,0
105,357,0,0
106,359,0,0
107,362,0,0
108,366,0,0
109,367,0,0
110,369,0,0
111,373,0,0
112,374,0,0
113,376,0,0
114,377,0,0
115,378,0,0
116,379,0,0
117,382,0,0
118,385,0,0
119,387,0,0
120,388,0,0
121,391,0,0
122,392,0,0
123,395,0,0
124,399,0,0
125,400,0,0
126,403,0,0
127,405,0,0
128,408,0,0
129,411,0,0
130,414,0,0
131,416,0,0
132,417,0,0
133,422,0,0
134,425,0,0
135,428,0,0
136,430,0,0
137,431,0,0
138,433,0,0
139,434,0,0
140,439,0,0
141,441,0,0
142,449,0,0
143,458,0,0
144,460,0,0
145,464,0,0
146,473,0,0
147,488,0,0
148,491,0,0
149,494,1,1
150,497,0,0
151,500,0,0
152,505,0,0
153,507,0,0
154,508,0,0
155,510,0,0
156,511,0,0
157,515,0,0
158,525,0,0
159,529,0,0
160,532,0,0
161,534,0,0
162,537,0,0
163,539,0,0
164,541,0,0
165,545,0,0
166,547,1,1
167,548,1,1
168,549,1,1
169,553,1,1
170,554,0,0
171,555,1,1
172,557,0,0
173,562,0,0
174,566,0,0
175,572,0,0
176,573,0,0
177,582,0,0
178,586,1,1
179,587,0,0
180,590,1,1
181,591,0,0
182,593,0,0
183,595,0,0
184,596,0,0
185,597,0,0
186,601,0,0
187,602,0,0
188,605,1,1
189,610,0,0
190,616,0,0
191,618,0,0
192,620,1,1
193,626,0,0
194,627,0,0
195,629,0,0
196,632,0,0
197,634,0,0
198,639,0,0
199,645,1,1
200,647,1,1
201,648,0,0
202,650,0,0
203,663,0,0
204,666,0,0
205,668,0,0
206,670,0,0
207,673,1,1
208,676,0,0
209,678,0,0
210,692,0,0
211,693,0,0
212,694,0,0
213,695,0,0
214,696,1,1
215,698,0,0
216,701,0,0
217,703,1,1
218,707,1,1
219,708,1,1
220,711,1,1
221,715,1,1
222,718,0,0
223,722,0,0
224,723,0,0
225,733,1,1
226,741,0,0
227,742,1,1
228,743,0,0
229,747,0,0
230,749,0,0
231,750,0,0
232,756,0,0
233,757,0,0
234,760,0,0
235,764,0,0
236,765,0,0
237,766,0,0
238,768,0,0
239,769,0,0
240,771,0,0
241,772,0,0
242,776,0,0
243,778,0,0
244,780,0,0
245,785,0,0
246,789,0,0
247,792,0,0
248,793,0,0
249,811,0,0
250,813,0,0
251,816,0,0
252,821,0,0
253,824,0,0
254,825,0,0
255,827,0,0
256,830,1,1
257,831,0,0
258,839,0,0
259,844,0,0
260,847,0,0
261,850,0,0
262,854,0,0
263,855,0,0
264,858,0,0
265,861,0,0
266,862,0,0
267,865,0,0
268,869,1,1
269,879,0,0
270,880,1,1
271,887,0,0
272,889,1,1
273,897,0,0
274,900,0,0
275,901,0,0
276,904,0,0
277,908,0,0
278,909,0,0
279,910,1,1
280,913,1,1
281,914,0,0
282,917,0,0
283,918,1,1
284,920,0,0
285,922,0,0
286,924,0,0
287,925,0,0
288,927,0,0
289,933,0,0
290,937,0,0
291,943,0,0
292,949,0,0
293,950,1,1
294,954,0,0
295,966,0,0
296,967,0,0
297,969,0,0
298,970,1,1
299,973,0,0
300,975,0,0
301,980,0,0
302,988,0,0
303,989,0,0
304,995,0,0
305,1000,0,0
306,1003,0,0
307,1007,0,0
308,1011,0,0
309,1012,0,0
310,1013,0,0
311,1014,0,0
312,1016,1,1
313,1019,0,0
314,1025,0,0
315,1027,0,0
316,1028,1,1
317,1030,0,0
318,1033,0,0
319,1034,1,1
320,1039,0,0
321,1046,0,0
322,1047,0,0
323,1053,0,0
324,1055,0,0
325,1056,0,0
326,1059,0,0
327,1060,0,0
328,1063,0,0
329,1064,0,0
330,1068,0,0
331,1076,0,0
332,1086,0,0
333,1087,0,0
334,1089,0,0
335,1092,0,0
336,1095,0,0
337,1096,0,0
338,1097,0,0
339,1100,0,0
340,1101,0,0
341,1107,0,0
342,1108,0,0
343,1111,0,0
344,1115,0,0
345,1116,0,0
346,1121,0,0
347,1125,0,0
348,1127,0,0
349,1131,0,0
350,1133,0,0
351,1135,0,0
352,1137,0,0
353,1140,0,0
354,1144,0,0
355,1147,0,0
356,1148,0,0
357,1150,0,0
358,1158,0,0
359,1159,0,0
360,1161,0,0
361,1163,0,0
362,1165,0,0
363,1169,0,0
364,1171,0,0
365,1172,0,0
366,1176,0,0
367,1180,0,0
368,1184,0,0
369,1186,0,0
370,1187,0,0
371,1192,0,0
372,1193,0,0
373,1194,0,0
374,1197,0,0
375,1200,0,0
376,1205,0,0
377,1210,0,0
378,1216,0,0
379,1220,0,0
380,1231,0,0
381,1233,0,0
382,1246,0,0
383,1247,0,0
384,1248,0,0
385,1255,0,0
386,1256,0,0
387,1257,0,0
388,1258,0,0
389,1260,0,0
390,1261,0,0
391,1265,0,0
392,1266,0,0
393,1268,0,0
394,1274,0,0
395,1281,0,0
396,1285,0,0
397,1286,0,0
398,1291,0,0
399,1292,0,0
400,1295,0,0
401,1299,0,0
402,1306,0,0
403,1310,0,0
404,1311,0,0
405,1313,0,0
406,1314,0,0
407,1322,0,0
408,1323,0,0
409,1325,0,0
410,1329,1,1
411,1330,0,0
412,1333,0,0
413,1336,0,0
414,1339,0,0
415,1342,0,0
416,1344,0,0
417,1355,1,1
418,1357,0,0
419,1358,0,0
420,1359,0,0
421,1364,0,0
422,1366,0,0
423,1367,0,0
424,1370,1,1
425,1373,0,0
426,1377,0,0
427,1386,0,0
428,1387,0,0
429,1392,0,0
430,1397,0,0
431,1398,0,0
432,1400,0,0
433,1403,0,0
434,1404,0,0
435,1410,0,0
436,1413,0,0
437,1416,0,0
438,1417,0,0
439,1423,0,0
440,1424,0,0
441,1426,0,0
442,1427,0,0
443,1428,0,0
444,1430,0,0
445,1434,0,0
446,1435,0,0
447,1437,0,0
448,1438,0,0
449,1442,0,0
450,1446,0,0
451,1451,0,0
452,1457,0,0
453,1461,0,0
454,1462,0,0
455,1465,0,0
456,1468,0,0
457,1469,0,0
458,1471,0,0
459,1476,0,0
460,1478,0,0
461,1481,0,0
462,1489,0,0
463,1490,0,0
464,1492,0,0
465,1496,0,0
466,1512,0,0
467,1516,0,0
468,1517,0,0
469,1528,0,0
470,1529,1,1
471,1536,1,1
472,1539,0,0
473,1541,0,0
474,1542,0,0
475,1548,1,1
476,1550,1,1
477,1551,0,0
478,1552,0,0
479,1557,1,1
480,1563,0,0
481,1564,0,0
482,1565,0,0
483,1566,1,1
484,1571,0,0
485,1578,0,0
486,1581,0,0
487,1583,0,0
488,1584,0,0
489,1586,1,1
490,1589,1,1
491,1592,1,1
492,1598,1,1
493,1606,0,0
494,1612,0,0
495,1616,1,1
496,1620,0,0
497,1624,0,0
498,1629,1,1
499,1630,1,1
500,1635,1,1
501,1640,1,1
502,1641,1,1
503,1642,1,1
504,1651,1,1
505,1655,1,1
506,1656,1,1
507,1659,1,1
508,1664,1,1
509,1667,1,1
510,1668,1,1
511,1674,0,0
512,1678,0,0
513,1680,1,1
514,1681,1,1
515,1682,1,1
516,1685,1,1
517,1695,1,1
518,1696,0,0
519,1697,0,0
520,1704,1,1
521,1708,0,0
522,1711,1,1
523,1713,1,1
524,1714,0,0
525,1717,1,1
526,1729,1,1
527,1730,0,0
528,1732,1,1
529,1734,1,1
530,1736,0,0
531,1738,1,1
532,1742,0,0
533,1743,1,1
534,1746,0,0
535,1748,1,1
536,1749,1,1
537,1751,1,1
538,1758,0,0
539,1764,1,1
540,1765,0,0
541,1777,1,1
542,1778,1,1
543,1781,1,1
544,1782,1,1
545,1783,1,1
546,1785,1,1
547,1788,1,1
548,1793,1,1
549,1794,0,0
550,1795,1,1
551,1797,1,1
552,1800,1,1
553,1801,1,1
554,1805,1,1
555,1806,1,1
556,1819,1,1
557,1820,1,1
558,1825,1,1
559,1828,0,0
560,1829,0,0
561,1830,0,0
562,1839,0,0
563,1843,0,0
564,1844,0,0
565,1846,0,0
566,1849,0,0
567,1850,0,0
568,1854,0,0
569,1855,0,0
570,1858,0,0
571,1859,0,0
572,1862,0,0
573,1867,0,0
574,1868,0,0
575,1871,1,1
576,1872,0,0
577,1874,1,1
578,1876,0,0
579,1879,0,0
580,1884,0,0
581,1891,0,0
582,1894,0,0
583,1896,0,0
584,1902,0,0
585,1903,0,0
586,1904,0,0
587,1906,0,0
